year,month,asset,DQN_return,Long_return
2013,12,Equity Index,-0.125529,0.191043
2014,1,Equity Index,0.203726,-0.346428
2014,2,Equity Index,-0.210394,0.359388
2014,3,Equity Index,-0.171365,-0.008469
2014,4,Equity Index,0.138275,0.05532
2014,5,Equity Index,-0.091783,0.235012
2014,6,Equity Index,-0.181724,0.1442
2014,7,Equity Index,-0.105139,-0.247115
2014,8,Equity Index,-0.219793,0.36434
2014,9,Equity Index,-0.144443,-0.174178
2014,10,Equity Index,-0.419527,-0.04629
2014,11,Equity Index,0.07967,0.219457
2014,12,Equity Index,-0.222292,-0.13912
2015,1,Equity Index,-0.315165,-0.033112
2015,2,Equity Index,0.387074,0.358814
2015,3,Equity Index,0.183185,-0.064168
2015,4,Equity Index,-0.078413,0.024519
2015,5,Equity Index,0.09121,0.099055
2015,6,Equity Index,-0.255628,-0.217695
2015,7,Equity Index,0.164597,0.121893
2015,8,Equity Index,-0.817427,-0.611651
2015,9,Equity Index,-0.21114,-0.143592
2015,10,Equity Index,0.014221,0.379063
2015,11,Equity Index,-0.046231,0.060595
2015,12,Equity Index,0.021935,-0.231416
2016,1,Equity Index,-0.346449,-0.348401
2016,2,Equity Index,0.001984,0.012773
2016,3,Equity Index,0.118904,0.273879
2016,4,Equity Index,-0.276826,0.029261
2016,5,Equity Index,-0.034328,0.168508
2016,6,Equity Index,0.198013,-0.16702
2016,7,Equity Index,0.144463,0.210845
2016,8,Equity Index,-0.075983,0.032024
2016,9,Equity Index,0.057997,-0.019101
2016,10,Equity Index,-0.133568,-0.104607
2016,11,Equity Index,0.44729,0.267136
2016,12,Equity Index,0.444662,0.299826
2017,1,Equity Index,-0.050427,0.092151
2017,2,Equity Index,-0.261088,0.418531
2017,3,Equity Index,-0.135858,0.167127
2017,4,Equity Index,-0.013943,0.167013
2017,5,Equity Index,-0.200238,0.14921
2017,6,Equity Index,-0.102754,-0.082696
2017,7,Equity Index,-0.385731,0.14013
2017,8,Equity Index,0.072839,-0.04813
2017,9,Equity Index,0.30477,0.311182
2017,10,Equity Index,-0.067862,0.363771
2017,11,Equity Index,-0.320391,0.207949
2017,12,Equity Index,0.048359,0.072867
2018,1,Equity Index,-0.522731,0.551892
2018,2,Equity Index,-0.10213,-0.602198
2018,3,Equity Index,-0.213499,-0.156852
2018,4,Equity Index,-0.057726,0.107902
2018,5,Equity Index,0.147362,0.102486
2018,6,Equity Index,0.036777,-0.019051
2018,7,Equity Index,0.282167,0.264294
2018,8,Equity Index,-0.287397,0.09208
2018,9,Equity Index,-0.115376,0.029721
2018,10,Equity Index,-0.563335,-0.75178
2018,11,Equity Index,-0.042367,-0.018484
2018,12,Equity Index,-0.512343,-0.435225
2019,1,Equity Index,0.327176,0.330435
2019,2,Equity Index,0.093927,0.225911
2019,3,Equity Index,0.262015,0.127126
2019,4,Equity Index,0.125066,0.319824
2019,5,Equity Index,-0.693048,-0.5694
