contract,round,date,position,return
AN,1,2012-02-06,-1.0,0.03639007894273017
AN,1,2012-02-07,-1.0,-0.04191609391540116
AN,1,2012-02-08,-1.0,-0.0031136751613771133
AN,1,2012-02-09,-1.0,0.0006450214846925225
AN,1,2012-02-10,-1.0,0.09130215113068658
AN,1,2012-02-13,1.0,-0.05923541975326683
AN,1,2012-02-14,1.0,-0.09016100851241247
AN,1,2012-02-15,1.0,0.034187952971106834
AN,1,2012-02-16,1.0,0.05279551876621831
AN,1,2012-02-17,1.0,-0.02742430360839009
AN,1,2012-02-21,1.0,-0.031576558779738945
AN,1,2012-02-22,1.0,-0.01867710025715859
AN,1,2012-02-23,1.0,0.030546530670998905
AN,1,2012-02-24,1.0,0.015030555255753822
AN,1,2012-02-27,1.0,0.04359766311401335
AN,1,2012-02-28,1.0,-0.0025348043399068885
AN,1,2012-02-29,1.0,0.007348790996457753
AN,1,2012-03-01,1.0,0.026060994416306552
AN,1,2012-03-02,1.0,-0.043027027762775824
AN,1,2012-03-05,1.0,-0.05427564594618948
AN,1,2012-03-06,1.0,-0.11261801744048043
AN,1,2012-03-07,1.0,0.03730614120398639
AN,1,2012-03-08,1.0,0.06697266243176014
AN,1,2012-03-09,1.0,-0.06436918929028566
AN,1,2012-03-12,1.0,-0.05414869077551241
AN,1,2012-03-13,-1.0,0.006555688330881985
AN,1,2012-03-14,-1.0,0.032292576187886
AN,1,2012-03-15,-1.0,-0.08135677607387233
AN,1,2012-03-16,-1.0,-0.03313581598082993
AN,1,2012-03-19,-1.0,-0.025981988488988847
AN,1,2012-03-20,-1.0,0.11335759089890397
AN,1,2012-03-21,1.0,0.020628805831161424
AN,1,2012-03-22,1.0,-0.06411338294384042
AN,1,2012-03-23,1.0,0.06508231618876324
AN,1,2012-03-26,1.0,0.05324785487382794
AN,1,2012-03-27,1.0,-0.03290288712447948
AN,1,2012-03-28,1.0,-0.0790331876326797
AN,1,2012-03-29,1.0,-0.014044598748681646
AN,1,2012-03-30,1.0,0.0007060839714691425
AN,1,2012-04-02,1.0,0.06677703572820297
AN,1,2012-04-03,1.0,-0.10690247376074405
AN,1,2012-04-04,1.0,-0.031919995424717997
AN,1,2012-04-05,1.0,0.027009568692774998
AN,1,2012-04-06,1.0,0.016530749225249983
AN,1,2012-04-09,1.0,0.012533866867322347
AN,1,2012-04-10,1.0,-0.05751500336666706
AN,1,2012-04-11,1.0,0.033455361339310874
AN,1,2012-04-12,1.0,0.12123768183784531
AN,1,2012-04-13,1.0,-0.04474936987593701
AN,1,2012-04-16,1.0,-0.01657010484844492
AN,1,2012-04-17,1.0,0.041811214110334616
AN,1,2012-04-18,1.0,-0.0406246120474093
AN,1,2012-04-19,1.0,-0.02307979345732789
AN,1,2012-04-20,1.0,0.035327042477347526
AN,1,2012-04-23,1.0,-0.050719672385538435
AN,1,2012-04-24,1.0,-0.014067511927782838
AN,1,2012-04-25,1.0,0.05600004473006677
AN,1,2012-04-26,1.0,0.04008782616286635
AN,1,2012-04-27,1.0,0.06192015796870932
AN,1,2012-04-30,1.0,-0.040377801645543124
AN,1,2012-05-01,1.0,-0.06965903655705803
AN,1,2012-05-02,1.0,-0.007241498234547634
AN,1,2012-05-03,1.0,-0.05850402646640254
AN,1,2012-05-04,1.0,-0.05932682969753072
AN,1,2012-05-07,1.0,0.020092291666851288
AN,1,2012-05-08,1.0,-0.07051409043201455
AN,1,2012-05-09,1.0,-0.05259696655569072
AN,1,2012-05-10,1.0,0.033347405393492034
AN,1,2012-05-11,1.0,-0.06088040506084228
AN,1,2012-05-14,1.0,-0.048781507518459305
AN,1,2012-05-15,1.0,-0.017102074419990756
AN,1,2012-05-16,1.0,-0.025145418609496515
AN,1,2012-05-17,1.0,0.010603413849185263
AN,1,2012-05-18,1.0,-0.10416160459226308
AN,1,2012-05-21,1.0,0.05678660081860024
AN,1,2012-05-22,1.0,-0.030764951689537644
AN,1,2012-05-23,1.0,-0.09846740227600187
AN,1,2012-05-24,1.0,-0.003989296880293951
AN,1,2012-05-25,1.0,0.04547401429254824
AN,1,2012-05-29,1.0,0.06594803477311545
AN,1,2012-05-30,1.0,-0.11600026753049025
AN,1,2012-05-31,1.0,0.02554042660283
AN,1,2012-06-01,1.0,-0.04948140942791293
AN,1,2012-06-04,-1.0,0.03661868007640764
AN,1,2012-06-05,-1.0,-0.03416337391918374
AN,1,2012-06-06,-1.0,-0.15237721917104355
AN,1,2012-06-07,-1.0,-0.031181084617515637
AN,1,2012-06-08,-1.0,0.0323318284198197
AN,1,2012-06-11,-1.0,0.012318691378659673
AN,1,2012-06-12,-1.0,-0.040717232389209074
AN,1,2012-06-13,-1.0,-0.02728944268667438
AN,1,2012-06-14,1.0,-0.00469708123313427
AN,1,2012-06-15,1.0,0.08172465596906518
AN,1,2012-06-18,1.0,0.031401994426936426
AN,1,2012-06-19,-1.0,0.06126975591174774
AN,1,2012-06-20,-1.0,-0.004649484992759165
AN,1,2012-06-21,-1.0,0.1132949510740872
AN,1,2012-06-22,-1.0,-0.025238372703739066
AN,1,2012-06-25,-1.0,0.07001968398884964
AN,1,2012-06-26,-1.0,-0.0723457780713774
AN,1,2012-06-27,-1.0,0.0016861201367787209
AN,1,2012-06-28,-1.0,0.050180287498810594
AN,1,2012-06-29,-1.0,-0.19669475130007538
AN,1,2012-07-02,-1.0,-0.015980187722413754
AN,1,2012-07-03,-1.0,-0.019118183540326163
AN,1,2012-07-05,-1.0,-0.007357263560606422
AN,1,2012-07-06,-1.0,0.07753730016488385
AN,1,2012-07-09,-1.0,-0.006561463816258536
AN,1,2012-07-10,-1.0,0.008045670852419968
AN,1,2012-07-11,-1.0,-0.030859845040674634
AN,1,2012-07-12,-1.0,0.06804871927858656
AN,1,2012-07-13,-1.0,-0.0693178252633408
AN,1,2012-07-16,-1.0,-0.024105848957457744
AN,1,2012-07-17,-1.0,-0.04979031674415148
AN,1,2012-07-18,-1.0,-0.03141173038621349
AN,1,2012-07-19,-1.0,-0.066254825561678
AN,1,2012-07-20,-1.0,0.0463614077849537
AN,1,2012-07-23,1.0,0.08686195009746699
