date,regime,regime_prob_0,regime_prob_1,regime_prob_2
2013-02-21,1,1.7520276891009147e-34,1.0,0.0
2013-02-22,1,1.357679524731338e-40,1.0,0.0
2013-02-25,1,1.36744891266523e-46,1.0,0.0
2013-02-26,1,3.4275656193728684e-46,1.0,0.0
2013-02-27,1,7.383393356018847e-45,1.0,0.0
2013-02-28,1,1.489093233286847e-45,1.0,0.0
2013-03-01,1,2.25291899454221e-49,1.0,0.0
2013-03-04,1,2.0138578860149302e-53,1.0,0.0
2013-03-05,1,1.941782720214487e-54,1.0,0.0
2013-03-06,1,5.0337006154462196e-46,1.0,0.0
2013-03-07,1,1.1845933813882655e-44,1.0,0.0
2013-03-08,1,2.1798144101179406e-44,1.0,0.0
2013-03-11,1,7.744507434429263e-40,1.0,0.0
2013-03-12,1,2.1922608861341657e-35,1.0,0.0
2013-03-13,1,6.344868911941444e-29,1.0,0.0
2013-03-14,1,3.8650440044276e-27,1.0,0.0
2013-03-15,1,6.896031696533425e-29,1.0,0.0
2013-03-18,1,5.950517171904371e-25,1.0,0.0
2013-03-19,1,3.0900503339583325e-24,1.0,0.0
2013-03-20,1,5.328598869887681e-25,1.0,0.0
2013-03-21,1,2.293093548971866e-32,1.0,0.0
2013-03-22,1,9.381115944146632e-36,1.0,0.0
2013-03-25,1,2.1361103926355044e-31,1.0,0.0
2013-03-26,1,1.2989225358083454e-30,1.0,0.0
2013-03-27,1,5.732059779013019e-25,1.0,0.0
2013-03-28,1,6.300533728420771e-31,1.0,0.0
2013-04-02,1,2.0777426641314377e-38,1.0,0.0
2013-04-03,1,7.11835171920049e-36,1.0,0.0
2013-04-04,1,9.13491693889566e-34,1.0,0.0
2013-04-05,1,5.334909677586024e-31,1.0,0.0
2013-04-08,1,1.139275660613113e-25,1.0,0.0
2013-04-09,1,1.6260842231547103e-24,1.0,0.0
2013-04-10,1,1.7717762752566165e-24,1.0,0.0
2013-04-11,1,9.786912556073503e-32,1.0,0.0
2013-04-12,1,1.6926371864534268e-44,1.0,0.0
2013-04-15,1,2.7573156407564044e-58,1.0,0.0
2013-04-16,1,5.511890801479365e-78,1.0,0.0
2013-04-17,1,6.165738638544667e-95,1.0,0.0
2013-04-18,1,4.36384377666807e-97,1.0,0.0
2013-04-19,1,2.7069044700092063e-100,1.0,0.0
2013-04-22,1,1.1774776526918682e-88,1.0,0.0
2013-04-23,1,1.767005010452636e-85,1.0,0.0
2013-04-24,1,2.993776934717917e-85,1.0,0.0
2013-04-25,1,1.1084192967255367e-85,1.0,0.0
2013-04-26,1,2.5917881436422768e-70,1.0,0.0
2013-04-29,1,2.3321399438039244e-54,1.0,0.0
2013-04-30,1,1.7511579211087576e-54,1.0,0.0
2013-05-02,1,1.3212703581334521e-49,1.0,0.0
2013-05-03,1,7.144342966782793e-45,1.0,0.0
2013-05-06,1,6.115612140068234e-37,1.0,0.0
2013-05-07,1,4.211774816541974e-37,1.0,0.0
2013-05-08,1,4.580495832314313e-36,1.0,0.0
2013-05-09,1,7.512421590311583e-27,1.0,0.0
2013-05-10,1,3.394480472665523e-24,1.0,0.0
2013-05-13,1,7.460201168838608e-19,1.0,0.0
2013-05-14,1,3.147296551359451e-21,1.0,0.0
2013-05-15,1,9.655631880793917e-23,1.0,0.0
2013-05-16,1,4.5308460381530576e-27,1.0,0.0
2013-05-17,1,3.0055953449723573e-30,1.0,0.0
2013-05-20,1,9.133663356943842e-29,1.0,0.0
2013-05-21,1,8.728768542740498e-32,1.0,0.0
2013-05-22,1,2.416729638250298e-28,1.0,2.6928733e-316
2013-05-23,1,6.719408640966283e-29,1.0,1.5e-323
2013-05-24,1,6.041754242058519e-25,1.0,4e-323
2013-05-27,1,1.1743669946730985e-27,1.0,0.0
2013-05-28,1,2.3857416198673482e-26,1.0,0.0
